     28691:	symbol=_nl_msg_cat_cntr;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=_nl_msg_cat_cntr;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=_nl_msg_cat_cntr;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=_nl_msg_cat_cntr;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=stdin;  lookup in file=a.out [0]
     28691:	symbol=stdin;  lookup in file=./libFoo.so [0]
     28691:	symbol=stdin;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=stdin;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=stdin;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=stdin;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__environ;  lookup in file=a.out [0]
     28691:	symbol=__environ;  lookup in file=./libFoo.so [0]
     28691:	symbol=__environ;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__environ;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__environ;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__environ;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=svcauthdes_stats;  lookup in file=a.out [0]
     28691:	symbol=svcauthdes_stats;  lookup in file=./libFoo.so [0]
     28691:	symbol=svcauthdes_stats;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=svcauthdes_stats;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=svcauthdes_stats;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=svcauthdes_stats;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__memalign_hook;  lookup in file=a.out [0]
     28691:	symbol=__memalign_hook;  lookup in file=./libFoo.so [0]
     28691:	symbol=__memalign_hook;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__memalign_hook;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__memalign_hook;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__memalign_hook;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__free_hook;  lookup in file=a.out [0]
     28691:	symbol=__free_hook;  lookup in file=./libFoo.so [0]
     28691:	symbol=__free_hook;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__free_hook;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__free_hook;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__free_hook;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=error_message_count;  lookup in file=a.out [0]
     28691:	symbol=error_message_count;  lookup in file=./libFoo.so [0]
     28691:	symbol=error_message_count;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=error_message_count;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=error_message_count;  lookup in file=/lib64/libgcc_s.so.1 [0]
